country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","07-01-2025 17:00:00",23.107969,72.574648,OZONE,20,77,63
India,Delhi,Delhi,"Mundka, Delhi - DPCC","07-01-2025 17:00:00",28.684678,77.076574,OZONE,22,44,38
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","07-01-2025 17:00:00",28.623763,77.287209,OZONE,3,47,37
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","07-01-2025 17:00:00",12.990328,77.5431385,CO,26,49,36
India,"Madhya Pradesh",Indore,"Vijay Nagar Scheme-78, Indore - Glenmark","07-01-2025 17:00:00",22.76726,75.88710,SO2,27,30,28
India,Karnataka,Hubballi,"Deshpande Nagar, Hubballi - KSPCB","07-01-2025 17:00:00",15.351773,75.140726,OZONE,8,8,8
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","07-01-2025 17:00:00",15.3714823,75.1160168,OZONE,9,50,39
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB","07-01-2025 17:00:00",17.321993,76.822628,OZONE,23,71,62
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","07-01-2025 17:00:00",22.9682591,76.064118,OZONE,17,122,34
India,"Madhya Pradesh",Damoh,"Shrivastav Colony, Damoh - MPPCB","07-01-2025 17:00:00",23.81748678,79.446246,CO,22,24,23
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","07-01-2025 17:00:00",15.459706,75.008381,OZONE,10,85,63
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB","07-01-2025 17:00:00",15.411456,75.638133,OZONE,22,60,51
India,Karnataka,Raichur,"Haji Colony, Raichur - KSPCB","07-01-2025 17:00:00",16.208139,77.348417,CO,119,129,121
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB","07-01-2025 17:00:00",13.377516,77.099072,OZONE,5,7,6
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","07-01-2025 17:00:00",10.073232,76.302765,OZONE,10,13,12
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","07-01-2025 17:00:00",19.309073,73.057223,OZONE,28,94,68
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB","07-01-2025 17:00:00",19.786089,72.757971,OZONE,9,89,51
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB","07-01-2025 17:00:00",19.9775302,79.2337086,OZONE,5,57,39
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","07-01-2025 17:00:00",23.50016,80.23284,OZONE,23,77,63
India,"Madhya Pradesh",Maihar,"Sahilara, Maihar - KJS Cements","07-01-2025 17:00:00",24.2613009,80.7231783,CO,20,56,56
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB","07-01-2025 17:00:00",19.192056,72.9585188,OZONE,7,79,37
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB","07-01-2025 17:00:00",16.7143745,74.2426398,OZONE,2,52,35
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB","07-01-2025 17:00:00",19.065931,72.862131,OZONE,1,103,48
India,"Madhya Pradesh",Sagar,"Civil Lines, Sagar - MPPCB","07-01-2025 17:00:00",23.838586,78.759431,OZONE,18,61,42
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","07-01-2025 17:00:00",19.854616,75.905894,OZONE,26,183,104
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB","07-01-2025 17:00:00",19.2243333,72.8658113,OZONE,1,94,75
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB","07-01-2025 17:00:00",18.910000,72.820000,OZONE,11,11,11
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB","07-01-2025 17:00:00",19.0243902,73.0406721,OZONE,13,122,85
India,Mizoram,Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB","07-01-2025 17:00:00",23.7176342,92.7192841,OZONE,5,9,7
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB","07-01-2025 17:00:00",19.9591346,73.7788008,OZONE,5,83,41
India,Maharashtra,"Navi Mumbai","Mahape, Navi Mumbai - MPCB","07-01-2025 17:00:00",19.1135051,73.008978,OZONE,22,25,23
India,Maharashtra,"Navi Mumbai","Nerul, Navi Mumbai - MPCB","07-01-2025 17:00:00",19.008751,73.016620,OZONE,10,38,23
India,Maharashtra,"Navi Mumbai","Sanpada, Navi Mumbai - MPCB","07-01-2025 17:00:00",19.0575752,73.0151367,OZONE,10,125,50
India,Maharashtra,Parbhani,"Masoom Colony, Parbhani - MPCB","07-01-2025 17:00:00",19.265594,76.761463,OZONE,7,100,77
India,Maharashtra,Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad - MPCB","07-01-2025 17:00:00",18.63673,73.82487,OZONE,2,167,151
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB","07-01-2025 17:00:00",21.14472,79.107595,OZONE,6,42,28
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB","07-01-2025 17:00:00",21.152875,79.0517531,OZONE,2,68,42
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB","07-01-2025 17:00:00",18.547056,73.826908,OZONE,1,113,74
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB","07-01-2025 17:00:00",17.65439,75.90649,OZONE,2,133,81
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM","07-01-2025 17:00:00",19.19709,72.82204,OZONE,3,99,56
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB","07-01-2025 17:00:00",19.950220,73.731480,OZONE,18,70,42
India,Punjab,Rupnagar,"Ratanpura, Rupnagar - Ambuja Cements","07-01-2025 17:00:00",31.0325454,76.5623046,CO,111,139,127
India,Nagaland,Kohima,"PWD Juction, Kohima - NPCB","07-01-2025 17:00:00",25.6635413,94.0989878,OZONE,6,33,20
India,Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB","07-01-2025 17:00:00",28.194909,76.862296,OZONE,5,32,22
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB","07-01-2025 17:00:00",21.941841,86.728318,OZONE,3,127,77
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB","07-01-2025 17:00:00",26.843698,75.766894,OZONE,3,99,68
India,Puducherry,Puducherry,"Jawahar Nagar, Puducherry - PPCC","07-01-2025 17:00:00",11.9309,79.8027,OZONE,37,79,70
India,Rajasthan,Hanumangarh,"Housing Board, Hanumangarh - RSPCB","07-01-2025 17:00:00",29.610750,74.283608,OZONE,27,73,50
India,Odisha,Suakati,"OMC Colony, Suakati - OSPCB","07-01-2025 17:00:00",21.606865,85.510538,OZONE,11,176,127
India,Odisha,Nayagarh,"Dabuna, Nayagarh - OSPCB","07-01-2025 17:00:00",21.847279,85.416905,OZONE,43,107,77
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB","07-01-2025 17:00:00",23.8175497,91.2726974,OZONE,3,88,53
India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB","07-01-2025 17:00:00",27.23711,78.01936,OZONE,1,5,4
India,TamilNadu,Cuddalore,"Semmandalam, Cuddalore - TNPCB","07-01-2025 17:00:00",11.7637683,79.7499835,OZONE,1,2,1
India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB","07-01-2025 17:00:00",26.9502929,75.730943,OZONE,24,72,48
India,Rajasthan,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB","07-01-2025 17:00:00",26.912329,70.909168,OZONE,10,112,90
India,TamilNadu,Chennai,"Manali Village, Chennai - TNPCB","07-01-2025 17:00:00",13.1662,80.2584,OZONE,29,217,47
India,TamilNadu,Chennai,"Manali, Chennai - CPCB","07-01-2025 17:00:00",13.164544,80.26285,OZONE,8,18,12
India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB","07-01-2025 17:00:00",17.4559458,78.4332152,OZONE,12,16,14
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB","07-01-2025 17:00:00",17.349694,78.451437,OZONE,17,46,27
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB","07-01-2025 17:00:00",27.608912,75.153302,OZONE,32,68,54
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB","07-01-2025 17:00:00",24.5886166,73.6321397,OZONE,21,77,57
India,TamilNadu,Nagapattinam,"Velippalayam, Nagapattinam - TNPCB","07-01-2025 17:00:00",10.798548,79.838212,OZONE,1,45,30
India,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB","07-01-2025 17:00:00",25.14389,75.821256,OZONE,16,48,39
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB","07-01-2025 17:00:00",29.063510,77.709723,OZONE,7,32,16
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB","07-01-2025 17:00:00",25.262326,82.995408,OZONE,1,1,1
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB","07-01-2025 17:00:00",28.569230,77.393848,OZONE,7,54,41
